id;description;frequency;features;grid;iterations;params
1;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
2;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
3;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
4;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
5;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
6;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
7;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
8;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
9;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
10;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
11;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
12;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
13;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
14;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
15;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
16;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
17;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
18;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
19;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
20;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";10000;""
21;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";1000;""
22;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";10000;""
23;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";1000;""
24;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";10000;""
25;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";1000;""
26;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";10000;""
27;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";1000;""
28;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";10000;""
29;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";1000;""
30;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";10000;""
31;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";1000;""
32;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";10000;""
33;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
34;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
35;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
36;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
37;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
38;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
39;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
40;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
41;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
42;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
43;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
44;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
45;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
46;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
47;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
48;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
49;"";"dia";"tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
50;"";"dia";"tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
51;"";"dia";"tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
52;"";"dia";"tmax, tmin, longitud, latitud, altitud";"10,10";10000;""
53;"";"dia";"tmax, tmin, longitud, latitud, altitud";"25,25";1000;""
54;"";"dia";"tmax, tmin, longitud, latitud, altitud";"25,25";10000;""
55;"";"dia";"tmax, tmin, longitud, latitud, altitud";"50,50";1000;""
56;"";"dia";"tmax, tmin, longitud, latitud, altitud";"50,50";10000;""
57;"";"dia";"precip, longitud, latitud, altitud";"5,5";1000;""
58;"";"dia";"precip, longitud, latitud, altitud";"5,5";10000;""
59;"";"dia";"precip, longitud, latitud, altitud";"10,10";1000;""
60;"";"dia";"precip, longitud, latitud, altitud";"10,10";10000;""
61;"";"dia";"precip, longitud, latitud, altitud";"25,25";1000;""
62;"";"dia";"precip, longitud, latitud, altitud";"25,25";10000;""
63;"";"dia";"precip, longitud, latitud, altitud";"50,50";1000;""
64;"";"dia";"precip, longitud, latitud, altitud";"50,50";10000;""
65;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"5,5";1000;""
66;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"5,5";10000;""
67;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"10,10";1000;""
68;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"10,10";10000;""
69;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"25,25";1000;""
70;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"25,25";10000;""
71;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"50,50";1000;""
72;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"50,50";10000;""
73;"";"dia";"fecha_cnt, tmax, tmin, precip";"5,5";1000;""
74;"";"dia";"fecha_cnt, tmax, tmin, precip";"5,5";10000;""
75;"";"dia";"fecha_cnt, tmax, tmin, precip";"10,10";1000;""
76;"";"dia";"fecha_cnt, tmax, tmin, precip";"10,10";10000;""
77;"";"dia";"fecha_cnt, tmax, tmin, precip";"25,25";1000;""
78;"";"dia";"fecha_cnt, tmax, tmin, precip";"25,25";10000;""
79;"";"dia";"fecha_cnt, tmax, tmin, precip";"50,50";1000;""
80;"";"dia";"fecha_cnt, tmax, tmin, precip";"50,50";10000;""
81;"";"dia";"fecha_cnt, tmax, tmin";"5,5";1000;""
82;"";"dia";"fecha_cnt, tmax, tmin";"5,5";10000;""
83;"";"dia";"fecha_cnt, tmax, tmin";"10,10";1000;""
84;"";"dia";"fecha_cnt, tmax, tmin";"10,10";10000;""
85;"";"dia";"fecha_cnt, tmax, tmin";"25,25";1000;""
86;"";"dia";"fecha_cnt, tmax, tmin";"25,25";10000;""
87;"";"dia";"fecha_cnt, tmax, tmin";"50,50";1000;""
88;"";"dia";"fecha_cnt, tmax, tmin";"50,50";10000;""
89;"";"dia";"fecha_cnt, precip";"5,5";1000;""
90;"";"dia";"fecha_cnt, precip";"5,5";10000;""
91;"";"dia";"fecha_cnt, precip";"10,10";1000;""
92;"";"dia";"fecha_cnt, precip";"10,10";10000;""
93;"";"dia";"fecha_cnt, precip";"25,25";1000;""
94;"";"dia";"fecha_cnt, precip";"25,25";10000;""
95;"";"dia";"fecha_cnt, precip";"50,50";1000;""
96;"";"dia";"fecha_cnt, precip";"50,50";10000;""
97;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"5,5";1000;""
98;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"5,5";10000;""
99;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"10,10";1000;""
100;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"10,10";10000;""
101;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"25,25";1000;""
102;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"25,25";10000;""
103;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"50,50";1000;""
104;"";"dia";"tmax, tmin, precip, nevada, prof_nieve";"50,50";10000;""
105;"";"dia";"tmax, tmin, precip";"5,5";1000;""
106;"";"dia";"tmax, tmin, precip";"5,5";10000;""
107;"";"dia";"tmax, tmin, precip";"10,10";1000;""
108;"";"dia";"tmax, tmin, precip";"10,10";10000;""
109;"";"dia";"tmax, tmin, precip";"25,25";1000;""
110;"";"dia";"tmax, tmin, precip";"25,25";10000;""
111;"";"dia";"tmax, tmin, precip";"50,50";1000;""
112;"";"dia";"tmax, tmin, precip";"50,50";10000;""
113;"";"dia";"tmax, tmin";"5,5";1000;""
114;"";"dia";"tmax, tmin";"5,5";10000;""
115;"";"dia";"tmax, tmin";"10,10";1000;""
116;"";"dia";"tmax, tmin";"10,10";10000;""
117;"";"dia";"tmax, tmin";"25,25";1000;""
118;"";"dia";"tmax, tmin";"25,25";10000;""
119;"";"dia";"tmax, tmin";"50,50";1000;""
120;"";"dia";"tmax, tmin";"50,50";10000;""
121;"";"dia";"precip";"5,5";1000;""
122;"";"dia";"precip";"5,5";10000;""
123;"";"dia";"precip";"10,10";1000;""
124;"";"dia";"precip";"10,10";10000;""
125;"";"dia";"precip";"25,25";1000;""
126;"";"dia";"precip";"25,25";10000;""
127;"";"dia";"precip";"50,50";1000;""
128;"";"dia";"precip";"50,50";10000;""
129;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
130;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
131;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
132;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
133;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
134;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
135;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
136;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
137;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
138;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
139;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
140;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
141;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
142;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
143;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
144;"";"semana";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
145;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
146;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
147;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
148;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";10000;""
149;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";1000;""
150;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";10000;""
151;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";1000;""
152;"";"semana";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";10000;""
153;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";1000;""
154;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";10000;""
155;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";1000;""
156;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";10000;""
157;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";1000;""
158;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";10000;""
159;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";1000;""
160;"";"semana";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";10000;""
161;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
162;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
163;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
164;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
165;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
166;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
167;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
168;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
169;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
170;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
171;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
172;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
173;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
174;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
175;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
176;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
177;"";"semana";"tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
178;"";"semana";"tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
179;"";"semana";"tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
